,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage
139,2006-08-31,97.3866,0.0218,,3327.006,,3527.4472,200.4412150766011,0.05682330697298633
140,2006-09-29,100.0154,0.027,,3416.8141,,3527.4472,110.63305758746219,0.03136349073841904
141,2006-10-31,103.1675,0.0315,,3524.5006,,3527.4472,2.946603229059292,0.0008353358851294194
142,2006-11-30,105.2191,0.0199,,3594.5866,,3594.5866,-2.0954767478542635e-05,-5.8295347449808654e-09
143,2006-12-29,106.6257,0.0134,,3642.6399,,3642.6399,3.942847797588911e-05,1.0824149259411865e-08
144,2007-01-31,108.2293,0.015,,3697.4262,,3697.4262,-1.4024408301338553e-09,-3.793019128100124e-13
145,2007-02-28,106.1062,-0.0196,,3624.8922,,3697.4262,72.53403663131576,0.019617439999563956
146,2007-03-30,107.3372,0.0116,,3666.9486,,3697.4262,30.47763042038241,0.008242931372202212
147,2007-04-30,112.0918,0.0443,,3829.3787,,3829.3787,-1.6296713511110283e-05,-4.255706940426206e-09
148,2007-05-31,115.894,0.0339,,3959.2717,,3959.2717,7.348498002102133e-06,1.8560226624765695e-09
149,2007-06-29,114.1964,-0.0146,,3901.2791,,3959.2717,57.9925717288761,0.014647282662838245
150,2007-07-31,110.6209,-0.0313,,3779.1293,,3959.2717,180.1423712279243,0.04549886566964432
151,2007-08-31,112.0405,0.0128,,3827.6261,,3959.2717,131.64557668506905,0.03324994763180033
152,2007-09-28,116.3764,0.0387,,3975.7521,,3975.7521,7.980400368978735e-06,2.0072681012930194e-09
153,2007-10-31,117.9552,0.0136,,4029.6895,,4029.6895,-3.4125029287679354e-05,-8.468401669081291e-09
154,2007-11-30,113.3865,-0.0387,,3873.6093,,4029.6895,156.08015306294556,0.03873255074936805
155,2007-12-31,112.1016,-0.0113,,3829.713,,4029.6895,199.97647703964822,0.0496257781250015
156,2008-01-31,105.3238,-0.0605,,3598.1645,,4029.6895,431.52498575038,0.10708641093820752
157,2008-02-29,102.602,-0.0258,,3505.1788,,4029.6895,524.5106544735172,0.13016155574108557
158,2008-03-31,101.6753,-0.009,,3473.5219,,4029.6895,556.1675526943868,0.13801747074914503
159,2008-04-30,106.5214,0.0477,,3639.078,,4029.6895,390.6115017575353,0.09693339939901953
160,2008-05-30,108.1316,0.0151,,3694.0882,,4029.6895,335.6012795600186,0.08328216840528746
